,1,2,3,4,5,6,7,8,9,10,11,12
A,0.0,0.0,CAX4 41,PRO2 46,0.0,0.0,VMA16 47,KGD2 44,PDX3 45,0.0,0.0,0.0
B,0.0,KGD2 44,0.0,0.0,GLR1 42,0.0,0.0,0.0,0.0,0.0,PDX3 45,0.0
C,PDX3 45,0.0,CAX4 41,0.0,0.0,0.0,KGD2 44,0.0,0.0,PDX3 45,0.0,0.0
D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PRO2 46,0.0,VMA16 47,0.0,0.0
E,VMA16 47,0.0,0.0,0.0,0.0,HEM25 43,HEM25 43,CAX4 41,0.0,0.0,0.0,0.0
F,YSY6 48,0.0,PRO2 46,0.0,0.0,0.0,HEM25 43,0.0,GLR1 42,0.0,0.0,KGD2 44
G,0.0,0.0,0.0,YSY6 48,0.0,0.0,GLR1 42,YSY6 48,YSY6 48,GLR1 42,0.0,0.0
H,CAX4 41,0.0,PRO2 46,0.0,HEM25 43,0.0,0.0,0.0,0.0,0.0,0.0,VMA16 47
