source,target,volume,reuseTips,type,pipette,tipType,liquidLevelDetection,bottomTouch
9:A7,10:D6,20,True,pipetting,1-Channel 200uL (Sartorius),Sartorius Tips (0.5-200uL),TRUE,TRUE
9:A7,10:F7,20,True,pipetting,1-Channel 200uL (Sartorius),Sartorius Tips (0.5-200uL),TRUE,TRUE
9:A7,10:G11,20,True,pipetting,1-Channel 200uL (Sartorius),Sartorius Tips (0.5-200uL),TRUE,TRUE
9:A7,10:H5,20,True,pipetting,1-Channel 200uL (Sartorius),Sartorius Tips (0.5-200uL),TRUE,TRUE
9:A7,10:H6,20,True,pipetting,1-Channel 200uL (Sartorius),Sartorius Tips (0.5-200uL),TRUE,TRUE
9:A2,10:C4,20,False,pipetting,1-Channel 200uL (Sartorius),Sartorius Tips (0.5-200uL),TRUE,TRUE
9:A2,10:D9,20,True,pipetting,1-Channel 200uL (Sartorius),Sartorius Tips (0.5-200uL),TRUE,TRUE
9:A2,10:F3,20,True,pipetting,1-Channel 200uL (Sartorius),Sartorius Tips (0.5-200uL),TRUE,TRUE
9:A2,10:F6,20,True,pipetting,1-Channel 200uL (Sartorius),Sartorius Tips (0.5-200uL),TRUE,TRUE
9:A2,10:G9,20,True,pipetting,1-Channel 200uL (Sartorius),Sartorius Tips (0.5-200uL),TRUE,TRUE
9:A2,10:H2,20,True,pipetting,1-Channel 200uL (Sartorius),Sartorius Tips (0.5-200uL),TRUE,TRUE
