,1,2,3,4,5,6,7,8,9,10,11,12
A,CUR1 6,DLD2 7,KGD2 8,MIP1 9,NAM7 10,RCR2 11,SGM1 12,SHY1 13,VPS34 14,YKU70 15,YER084W 16,RIM13 17
B,COX12 18,YDL119C 22,PDX3 23,PRO2 24,PPA1 25,YSY6 26,GET4 27,PRY1 28,STV1 29,YCR101C 30,YLR271W 31,GLR1 32
C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
